TimeStamp,Vendor mall point name,Vendor name,VendorX,VendorY,VendorZ,Item name 1,Item name 2,Total price,Item price,Item type,Item hue
2020-05-19 01:06:57.586421,cambria MG,PLATEMAIL ARMOR,1677,3145,10,bag,Description: Platemail exceptional short spear items in bag: 8,1500,1,3702,796
2020-05-19 01:06:57.586421,cambria MG,PLATEMAIL ARMOR,1677,3145,10,bag,Description: Platemail exceptional double axe items in bag: 8,1500,1,3702,796
2020-05-19 01:06:57.586421,cambria MG,PLATEMAIL ARMOR,1677,3145,10,bag,Description: Platemail exceptional kryss items in bag: 8,1500,1,3702,796
2020-05-19 01:06:57.586421,cambria MG,PLATEMAIL ARMOR,1677,3145,10,bag,Description: Shadow Platemail exceptional shadow iron spear items in bag: 8,2500,1,3702,802
2020-05-19 01:07:20.570796,cambria MG,LEATHER ARMOR SETS,1677,3147,10,pouch,Description: Shadowhide exceptional shadow iron axe items in bag: 7,2500,1,3705,2406
2020-05-19 01:07:20.570796,cambria MG,LEATHER ARMOR SETS,1677,3147,10,pouch,Description: Leather exceptional pitchfork items in bag: 7,1000,1,3705,0
2020-05-19 01:07:20.570796,cambria MG,LEATHER ARMOR SETS,1677,3147,10,pouch,Description: Leather exceptional crossbow items in bag: 7,1000,1,3705,0
2020-05-19 01:07:20.570796,cambria MG,LEATHER ARMOR SETS,1677,3147,10,pouch,Description: Leather exceptional club items in bag: 7,1000,1,3705,0
2020-05-19 01:07:20.570796,cambria MG,LEATHER ARMOR SETS,1677,3147,10,pouch,Description: Dullhide exceptional dull copper short spear items in bag: 7,1200,1,3705,2419
2020-05-19 01:07:20.570796,cambria MG,LEATHER ARMOR SETS,1677,3147,10,pouch,Description: Dullhide exceptional dull copper cutlass items in bag: 7,1200,1,3705,2419
2020-05-19 01:07:20.570796,cambria MG,LEATHER ARMOR SETS,1677,3147,10,pouch,Description: Dullhide exceptional dull copper war axe items in bag: 7,1200,1,3705,2419
2020-05-19 01:07:20.570796,cambria MG,LEATHER ARMOR SETS,1677,3147,10,pouch,Description: Dullhide exceptional dullwood heavy crossbow items in bag: 7,1200,1,3705,2419
2020-05-19 01:07:48.898921,cambria MG,RING/CHAINMAIL ARMOR,1677,3146,10,bag,Description: Dullcopper Ringmail exceptional dull copper halberd items in bag: 8,1500,1,3702,446
2020-05-19 01:07:48.898921,cambria MG,RING/CHAINMAIL ARMOR,1677,3146,10,bag,Description: Dullcopper Ringmail exceptional dull copper war mace items in bag: 8,1500,1,3702,446
2020-05-19 01:07:48.898921,cambria MG,RING/CHAINMAIL ARMOR,1677,3146,10,bag,Description: Chainmail exceptional executioner's axe items in bag: 8,1300,1,3702,856
2020-05-19 01:07:48.898921,cambria MG,RING/CHAINMAIL ARMOR,1677,3146,10,bag,Description: Dullcopper Chainmail exceptional dull copper double axe items in bag: 8,1700,1,3702,446
2020-05-19 01:07:48.898921,cambria MG,RING/CHAINMAIL ARMOR,1677,3146,10,bag,Description: Dullcopper Chainmail exceptional dull copper war axe items in bag: 8,1700,1,3702,446
2020-05-19 01:07:48.898921,cambria MG,RING/CHAINMAIL ARMOR,1677,3146,10,bag,Description: Shadow Ringmail exceptional shadow iron broadsword items in bag: 8,1800,1,3702,802
2020-05-19 01:07:48.898921,cambria MG,RING/CHAINMAIL ARMOR,1677,3146,10,bag,Description: Shadow Ringmail exceptional shadow iron ringmail arms items in bag: 8,1800,1,3702,802
2020-05-19 01:07:48.898921,cambria MG,RING/CHAINMAIL ARMOR,1677,3146,10,bag,Description: Shadow Chainmail exceptional shadow iron maul items in bag: 8,2000,1,3702,802
2020-05-19 01:07:48.898921,cambria MG,RING/CHAINMAIL ARMOR,1677,3146,10,bag,Description: Shadow Chainmail exceptional shadow iron spear items in bag: 8,2000,1,3702,802
2020-05-19 01:07:48.898921,cambria MG,RING/CHAINMAIL ARMOR,1677,3146,10,bag,Description: Copper Ringmail exceptional copper ringmail arms items in bag: 8,2500,1,3702,51
2020-05-19 01:08:52.898921,cambria MG,METAL WEPS/PREV.COIN,1678,3151,7,exceptional maul,[mastercrafted by Ya Mama],200,1,5179,0
2020-05-19 01:08:52.898921,cambria MG,METAL WEPS/PREV.COIN,1678,3151,7,exceptional maul,[mastercrafted by Ya Mama],200,1,5179,0
2020-05-19 01:08:52.898921,cambria MG,METAL WEPS/PREV.COIN,1678,3151,7,exceptional war hammer,[mastercrafted by Ya Mama],200,1,5177,0
2020-05-19 01:08:52.898921,cambria MG,METAL WEPS/PREV.COIN,1678,3151,7,exceptional war hammer,[mastercrafted by Ya Mama],200,1,5177,0
2020-05-19 01:08:52.898921,cambria MG,METAL WEPS/PREV.COIN,1678,3151,7,exceptional maul,[mastercrafted by Ya Mama],200,1,5179,0
2020-05-19 01:08:52.898921,cambria MG,METAL WEPS/PREV.COIN,1678,3151,7,exceptional short spear,[mastercrafted by Ya Mama],200,1,5123,0
